Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_ETH,Volume_USD
2022-06-26 04:00:00,Gemini,ETH/USD,1232.6,1278.81,1194.15,1219.34,19321.766513,23559802.77996142
2022-06-25 04:00:00,Gemini,ETH/USD,1222.73,1254.98,1179.18,1232.6,15701.408166,19353555.705411598
2022-06-24 04:00:00,Gemini,ETH/USD,1149.47,1244.43,1130.24,1222.73,26951.688393,32954637.948772892
2022-06-23 04:00:00,Gemini,ETH/USD,1075.8,1167.28,1071.51,1149.47,27836.165412,31996837.05613164
2022-06-22 04:00:00,Gemini,ETH/USD,1087.72,1109.53,1042.9,1075.8,13304.766706,14313268.0223148
2022-06-21 04:00:00,Gemini,ETH/USD,1129.95,1129.95,1085.34,1087.72,747.362905,812921.5790266
2022-06-20 04:00:00,Gemini,ETH/USD,1078.6,1168.22,1059.02,1129.95,25359.09379,28654508.0280105
2022-06-19 04:00:00,Gemini,ETH/USD,950.52,1156.48,934.64,1078.6,30156.729532,32527048.4732152
2022-06-18 04:00:00,Gemini,ETH/USD,1078.03,1081.57,880.0,950.52,76484.367297,72699920.80314444
2022-06-17 04:00:00,Gemini,ETH/USD,1069.98,1116.1,1063.83,1078.03,22456.581384,24208868.42939352
2022-06-16 04:00:00,Gemini,ETH/USD,1208.02,1217.5,1050.0,1069.98,33941.097215,36316295.1981057
2022-06-15 04:00:00,Gemini,ETH/USD,1170.87,1256.56,1043.66,1208.02,38023.217478,45932807.17777356
2022-06-14 04:00:00,Gemini,ETH/USD,1172.59,1265.6,1134.72,1170.87,69986.403688,81944980.48616856
2022-06-13 04:00:00,Gemini,ETH/USD,1347.54,1385.85,1075.0,1172.59,115599.781995,135551148.36951703
2022-06-12 04:00:00,Gemini,ETH/USD,1466.61,1543.99,1303.1,1347.54,46729.807166,62970284.348471634
2022-06-11 04:00:00,Gemini,ETH/USD,1667.18,1677.71,1445.0,1466.61,33760.162884,49512992.487303235
2022-06-10 04:00:00,Gemini,ETH/USD,1791.89,1798.61,1653.85,1667.18,15741.283827,26243553.57069786
2022-06-09 04:00:00,Gemini,ETH/USD,1798.24,1831.52,1744.41,1791.89,5481.923164,9823003.298339961
2022-06-08 04:00:00,Gemini,ETH/USD,1777.13,1811.53,1770.82,1798.24,3155.848876,5674973.68277824
2022-06-07 04:00:00,Gemini,ETH/USD,1756.85,1872.53,1735.55,1777.13,12807.727319,22760996.45041447
2022-06-06 04:00:00,Gemini,ETH/USD,1877.16,1917.44,1724.99,1756.85,13933.02836,24478240.874266
2022-06-05 04:00:00,Gemini,ETH/USD,1792.25,1881.62,1772.49,1877.16,5697.13372,10694431.5338352
2022-06-04 04:00:00,Gemini,ETH/USD,1752.0,1814.0,1750.96,1792.25,3192.708481,5722131.7750722505
2022-06-03 04:00:00,Gemini,ETH/USD,1827.58,1827.58,1741.38,1752.0,4505.10733,7892948.04216
2022-06-02 04:00:00,Gemini,ETH/USD,1812.03,1850.67,1781.37,1827.58,10570.033822,19317582.41241076
2022-06-01 04:00:00,Gemini,ETH/USD,1928.48,1971.0,1761.42,1812.03,21181.374566,38381286.15482898
2022-05-31 04:00:00,Gemini,ETH/USD,1992.96,1999.07,1924.65,1928.48,15652.62355,30185771.463704
2022-05-30 04:00:00,Gemini,ETH/USD,1878.54,2014.69,1867.82,1992.96,21367.11405,42583803.617088
2022-05-29 04:00:00,Gemini,ETH/USD,1775.75,1887.11,1768.72,1878.54,8447.005874,15868038.41454396
2022-05-28 04:00:00,Gemini,ETH/USD,1763.32,1806.74,1747.86,1775.75,7614.391052,13521254.910589
2022-05-27 04:00:00,Gemini,ETH/USD,1766.41,1820.46,1699.99,1763.32,31250.261591,55104211.26864211
2022-05-26 04:00:00,Gemini,ETH/USD,1947.93,1947.93,1726.3,1766.41,6830.171705,12064883.60142905
2022-05-25 04:00:00,Gemini,ETH/USD,2012.18,2012.18,1931.38,1947.93,461.828079,899608.76992647
2022-05-24 04:00:00,Gemini,ETH/USD,1985.25,2019.53,1909.08,2012.18,16844.829935,33894829.898608305
2022-05-23 04:00:00,Gemini,ETH/USD,2028.38,2086.88,1955.0,1985.25,13144.924947,26095962.25103175
2022-05-22 04:00:00,Gemini,ETH/USD,1972.44,2054.86,1964.07,2028.38,7572.996345,15360914.3262711
2022-05-21 04:00:00,Gemini,ETH/USD,1967.33,1988.02,1955.0,1972.44,4880.668694,9626826.15879336
2022-05-20 04:00:00,Gemini,ETH/USD,2022.03,2099.9,1920.49,1967.33,10030.687238,19733671.92393454
2022-05-19 04:00:00,Gemini,ETH/USD,1951.36,2051.55,1912.06,2022.03,9371.795912,18950052.48794136
2022-05-18 04:00:00,Gemini,ETH/USD,2038.31,2050.93,1900.8,1951.36,13340.517591,26032152.406373758
2022-05-17 04:00:00,Gemini,ETH/USD,2071.14,2119.1,2006.18,2038.31,9077.706354,18503179.63842174
2022-05-16 04:00:00,Gemini,ETH/USD,2073.44,2080.02,1976.73,2071.14,12217.72252,25304613.820072796
2022-05-15 04:00:00,Gemini,ETH/USD,2011.85,2162.56,2000.01,2073.44,9165.240252,19003575.74810688
2022-05-14 04:00:00,Gemini,ETH/USD,2050.06,2075.45,1947.19,2011.85,8241.852473,16581370.89780505
2022-05-13 04:00:00,Gemini,ETH/USD,2089.98,2145.0,1997.4,2050.06,19717.824255,40422722.7922053
2022-05-12 04:00:00,Gemini,ETH/USD,1962.21,2104.99,1700.0,2089.98,72007.39011,150494005.1820978
2022-05-11 04:00:00,Gemini,ETH/USD,2360.6,2382.99,1962.1,1962.21,50017.250553,98144349.20760213
2022-05-10 04:00:00,Gemini,ETH/USD,2343.1,2456.38,2260.29,2360.6,21411.057084,50542941.352490395
2022-05-09 04:00:00,Gemini,ETH/USD,2457.0,2478.18,2200.0,2343.1,39416.331006,92356405.1801586
2022-05-08 04:00:00,Gemini,ETH/USD,2546.29,2577.83,2422.67,2457.0,12271.973014,30152237.695398
2022-05-07 04:00:00,Gemini,ETH/USD,2668.53,2703.12,2517.83,2546.29,8085.297768,20587512.853680722
2022-05-06 04:00:00,Gemini,ETH/USD,2745.27,2755.23,2629.78,2668.53,14821.616257,39551927.630292214
2022-05-05 04:00:00,Gemini,ETH/USD,2941.77,2949.99,2688.88,2745.27,20651.316013,56693438.311008506
2022-05-04 04:00:00,Gemini,ETH/USD,2798.26,2966.94,2788.82,2941.77,10482.252516,30836375.98399332
2022-05-03 04:00:00,Gemini,ETH/USD,2849.07,2853.4,2706.74,2798.26,14046.274377,39305127.73818402
2022-05-02 04:00:00,Gemini,ETH/USD,2840.22,2882.0,2778.5,2849.07,12803.703216,36478646.72160912
2022-05-01 04:00:00,Gemini,ETH/USD,2778.78,2849.8,2753.0,2840.22,12055.040158,34238966.15755476
2022-04-30 04:00:00,Gemini,ETH/USD,2819.92,2841.65,2715.0,2778.78,6520.090644,18117897.47973432
2022-04-29 04:00:00,Gemini,ETH/USD,2924.27,2935.0,2775.24,2819.92,12274.720895,34613730.9462284
2022-04-28 04:00:00,Gemini,ETH/USD,2884.31,2979.0,2850.18,2924.27,14082.787753,41181873.74246531
2022-04-27 04:00:00,Gemini,ETH/USD,2836.83,2916.31,2821.22,2884.31,4301.518994,12406914.24958414
2022-04-26 04:00:00,Gemini,ETH/USD,3001.21,3020.0,2768.24,2836.83,9394.276104,26649964.280110322
2022-04-25 04:00:00,Gemini,ETH/USD,2877.05,3036.4,2796.99,3001.21,15692.955806,47097855.89452526
2022-04-24 04:00:00,Gemini,ETH/USD,2957.04,2967.34,2841.65,2877.05,5476.736568,15756844.942964401
2022-04-23 04:00:00,Gemini,ETH/USD,2949.61,2979.4,2920.0,2957.04,8814.180203,26063883.427479118
2022-04-22 04:00:00,Gemini,ETH/USD,2995.32,3032.74,2934.58,2949.61,7008.595113,20672622.231255934
2022-04-21 04:00:00,Gemini,ETH/USD,3097.79,3178.7,2856.0,2995.32,9705.211494,29070214.09220808
2022-04-20 04:00:00,Gemini,ETH/USD,3093.42,3106.4,3085.4,3097.79,725.387482,2247098.08786478
2022-04-19 04:00:00,Gemini,ETH/USD,3038.84,3131.41,3029.33,3093.42,8159.654323,25241237.87585466
2022-04-18 04:00:00,Gemini,ETH/USD,2995.96,3095.0,2884.63,3038.84,13402.234153,40727245.23350252
2022-04-17 04:00:00,Gemini,ETH/USD,3031.8,3082.19,2972.56,2995.96,4513.690871,13522837.301881159
2022-04-16 04:00:00,Gemini,ETH/USD,3038.6,3085.44,3012.19,3031.8,3427.655176,10391964.962596802
2022-04-15 04:00:00,Gemini,ETH/USD,3041.67,3059.46,2995.43,3038.6,5342.055199,16232368.927681401
2022-04-14 04:00:00,Gemini,ETH/USD,3119.16,3124.83,2976.71,3041.67,7070.945334,21507482.29406778
2022-04-13 04:00:00,Gemini,ETH/USD,3049.86,3144.93,3049.86,3119.16,3570.745156,11137725.46078896
2022-04-12 04:00:00,Gemini,ETH/USD,2983.0,3085.93,2967.24,3049.86,10468.783913,31928325.30490218
2022-04-11 04:00:00,Gemini,ETH/USD,3173.71,3189.17,2948.33,2983.0,18830.138526,56170303.22305799
2022-04-10 04:00:00,Gemini,ETH/USD,3257.61,3308.07,3153.95,3173.71,3591.96024,11399840.133290399
2022-04-09 04:00:00,Gemini,ETH/USD,3211.57,3269.05,3195.56,3257.61,2560.732002,8341866.177035221
2022-04-08 04:00:00,Gemini,ETH/USD,3268.64,3313.33,3175.0,3211.57,7703.566401,24740542.74645957
2022-04-07 04:00:00,Gemini,ETH/USD,3189.03,3276.01,3160.0,3268.64,10417.701824,34051716.88999936
2022-04-06 04:00:00,Gemini,ETH/USD,3341.06,3341.06,3142.43,3189.03,8638.679459,27549007.955134775
2022-04-05 04:00:00,Gemini,ETH/USD,3524.4,3554.92,3268.16,3341.06,11968.108328,39986168.01034768
2022-04-04 04:00:00,Gemini,ETH/USD,3490.18,3547.79,3409.35,3524.4,7719.240021,27205689.5300124
2022-04-03 04:00:00,Gemini,ETH/USD,3455.91,3581.61,3453.85,3490.18,11264.019757,39313456.475486256
2022-04-02 04:00:00,Gemini,ETH/USD,3475.0,3530.86,3414.99,3455.91,4059.933864,14030766.039936239
2022-04-01 04:00:00,Gemini,ETH/USD,3250.24,3524.29,3243.6,3475.0,11519.121877,40028948.522575
2022-03-31 04:00:00,Gemini,ETH/USD,3397.59,3446.64,3212.93,3250.24,8054.224848,26178163.769963518
2022-03-30 04:00:00,Gemini,ETH/USD,3384.66,3447.23,3372.55,3397.59,4006.855694,13613652.83737746
2022-03-29 04:00:00,Gemini,ETH/USD,3373.54,3483.72,3333.61,3384.66,15243.182114,51592988.77397124
2022-03-28 04:00:00,Gemini,ETH/USD,3314.26,3435.57,3302.2,3373.54,18008.87692,60753666.644696794
2022-03-27 04:00:00,Gemini,ETH/USD,3146.92,3325.69,3128.59,3314.26,7030.009798,23299280.273119483
2022-03-26 04:00:00,Gemini,ETH/USD,3111.44,3169.74,3102.05,3146.92,2908.655319,9153305.59646748
2022-03-25 04:00:00,Gemini,ETH/USD,3137.6,3195.0,3077.13,3111.44,11784.245634,36665973.235452965
2022-03-24 04:00:00,Gemini,ETH/USD,3019.44,3143.02,3005.0,3137.6,22356.028105,70144273.782248
2022-03-23 04:00:00,Gemini,ETH/USD,2948.2,3083.79,2948.2,3019.44,5223.562013,15772232.08453272
2022-03-22 04:00:00,Gemini,ETH/USD,3007.04,3054.28,2926.75,2948.2,11557.750333,34074559.5317506
2022-03-21 04:00:00,Gemini,ETH/USD,2846.34,3028.83,2846.34,3007.04,4654.075474,13994991.11333696
2022-03-20 04:00:00,Gemini,ETH/USD,2934.86,2937.68,2820.0,2846.34,6340.360175,18046820.7805095
2022-03-19 04:00:00,Gemini,ETH/USD,2949.9,2986.87,2896.58,2934.86,6323.398697,18558289.89987742
2022-03-18 04:00:00,Gemini,ETH/USD,2780.99,2985.96,2773.38,2949.9,20905.185591,61668206.9748909
2022-03-17 04:00:00,Gemini,ETH/USD,2766.7,2837.69,2748.36,2780.99,9305.659095,25878944.886604052
2022-03-16 04:00:00,Gemini,ETH/USD,2623.03,2790.0,2623.03,2766.7,6476.770108,17919279.857803598
2022-03-15 04:00:00,Gemini,ETH/USD,2545.33,2732.11,2507.62,2623.03,12987.104094,34065563.65168482
2022-03-14 04:00:00,Gemini,ETH/USD,2537.08,2608.83,2511.13,2545.33,9470.211207,24104812.69151331
2022-03-13 04:00:00,Gemini,ETH/USD,2591.5,2597.02,2494.49,2537.08,5705.082324,14474250.26257392
2022-03-12 04:00:00,Gemini,ETH/USD,2584.76,2614.95,2559.46,2591.5,4089.407994,10597700.816451
2022-03-11 04:00:00,Gemini,ETH/USD,2553.23,2677.24,2527.54,2584.76,8759.455956,22641091.376830563
2022-03-10 04:00:00,Gemini,ETH/USD,2660.0,2664.31,2523.9,2553.23,9191.282297,23467457.699169308
2022-03-09 04:00:00,Gemini,ETH/USD,2698.86,2736.26,2653.58,2660.0,5289.402999,14069811.97734
2022-03-08 04:00:00,Gemini,ETH/USD,2549.45,2718.04,2549.45,2698.86,3123.906047,8430985.07400642
2022-03-07 04:00:00,Gemini,ETH/USD,2526.68,2648.9,2446.54,2549.45,15495.590924,39505234.281191796
2022-03-06 04:00:00,Gemini,ETH/USD,2636.15,2660.3,2505.55,2526.68,9466.894559,23919813.14433412
2022-03-05 04:00:00,Gemini,ETH/USD,2627.38,2684.42,2611.23,2636.15,2500.438389,6591530.65916235
2022-03-04 04:00:00,Gemini,ETH/USD,2725.05,2758.21,2573.0,2627.38,16412.956125,43123072.6637025
2022-03-03 04:00:00,Gemini,ETH/USD,2898.16,2937.01,2690.37,2725.05,10592.143656,28864121.0697828
2022-03-02 04:00:00,Gemini,ETH/USD,3019.35,3019.35,2889.76,2898.16,5483.61276,15892387.1565216
2022-03-01 04:00:00,Gemini,ETH/USD,2913.85,3040.26,2855.75,3019.35,20939.418354,63223432.8071499
2022-02-28 04:00:00,Gemini,ETH/USD,2607.83,2973.41,2570.67,2913.85,17658.509346,51454247.4578421
2022-02-27 04:00:00,Gemini,ETH/USD,2719.89,2836.52,2559.13,2607.83,11748.928717,30639208.77605411
2022-02-26 04:00:00,Gemini,ETH/USD,2797.16,2855.98,2679.36,2719.89,5724.582997,15570236.047710331
2022-02-25 04:00:00,Gemini,ETH/USD,2639.56,2877.47,2570.0,2797.16,13672.4451,38244016.535916
2022-02-24 04:00:00,Gemini,ETH/USD,2398.44,2650.58,2398.44,2639.56,1213.946664,3204285.05642784
2022-02-23 04:00:00,Gemini,ETH/USD,2626.97,2755.29,2390.0,2398.44,24233.802504,58123321.27769376
2022-02-22 04:00:00,Gemini,ETH/USD,2518.16,2666.56,2500.76,2626.97,13666.419814,35901274.85878358
2022-02-21 04:00:00,Gemini,ETH/USD,2712.05,2758.87,2508.39,2518.16,14135.578275,35595647.788973995
2022-02-20 04:00:00,Gemini,ETH/USD,2713.85,2739.87,2576.27,2712.05,8994.485659,24393494.831490953
2022-02-19 04:00:00,Gemini,ETH/USD,2805.75,2825.9,2697.68,2713.85,6091.007626,16530081.045820098
2022-02-18 04:00:00,Gemini,ETH/USD,2909.76,2945.32,2751.41,2805.75,10604.167656,29752643.400822
2022-02-17 04:00:00,Gemini,ETH/USD,3086.51,3137.24,2854.42,2909.76,14003.747057,40747543.03657632
2022-02-16 04:00:00,Gemini,ETH/USD,3144.0,3190.11,3047.16,3086.51,4474.832795,13811616.170095451
2022-02-15 04:00:00,Gemini,ETH/USD,3028.17,3199.01,3009.74,3144.0,9184.386861,28875712.290984
2022-02-14 04:00:00,Gemini,ETH/USD,2867.47,3043.57,2845.8,3028.17,7306.986504,22126797.32181768
2022-02-13 04:00:00,Gemini,ETH/USD,2918.62,2954.35,2830.04,2867.47,4511.907383,12937759.063531008
2022-02-12 04:00:00,Gemini,ETH/USD,2936.43,2986.53,2860.0,2918.62,5318.854862,15523716.17733044
2022-02-11 04:00:00,Gemini,ETH/USD,3082.51,3142.11,2876.56,2936.43,16563.86841,48638640.1151763
2022-02-10 04:00:00,Gemini,ETH/USD,3182.48,3283.83,3004.12,3082.51,18345.590993,56550467.69183244
2022-02-09 04:00:00,Gemini,ETH/USD,3079.5,3247.93,3079.5,3182.48,1135.705266,3614359.29493968
2022-02-08 04:00:00,Gemini,ETH/USD,3149.58,3233.32,3028.38,3079.5,19213.349039,59167508.365600504
2022-02-07 04:00:00,Gemini,ETH/USD,3072.9,3195.0,3052.59,3149.58,12873.933417,40547483.21151486
2022-02-06 04:00:00,Gemini,ETH/USD,3011.36,3077.03,2947.69,3072.9,9226.545834,28352252.6932986
2022-02-05 04:00:00,Gemini,ETH/USD,3000.46,3062.85,2964.23,3011.36,7247.098604,21823622.85214144
2022-02-04 04:00:00,Gemini,ETH/USD,2685.66,3018.68,2678.05,3000.46,30992.36511,92991351.81795059
2022-02-03 04:00:00,Gemini,ETH/USD,2659.3,2700.0,2576.87,2685.66,11232.318486,30166188.46511076
2022-02-02 04:00:00,Gemini,ETH/USD,2783.81,2909.13,2615.32,2659.3,17479.314561,46482741.2120673
2022-02-01 04:00:00,Gemini,ETH/USD,2754.14,2815.69,2719.52,2783.81,17279.053623,48101602.26624363
2022-01-31 04:00:00,Gemini,ETH/USD,2513.24,2762.22,2477.94,2754.14,15437.324566,42516553.080203235
2022-01-30 04:00:00,Gemini,ETH/USD,2572.69,2640.79,2492.7,2513.24,13163.115512,33082068.42937888
2022-01-29 04:00:00,Gemini,ETH/USD,2542.99,2636.77,2525.79,2572.69,13384.661797,34434585.55852393
2022-01-28 04:00:00,Gemini,ETH/USD,2449.0,2587.77,2359.07,2542.99,20192.235053,51348651.81742847
2022-01-27 04:00:00,Gemini,ETH/USD,2366.57,2521.75,2316.47,2449.0,22080.650799,54075513.806751
2022-01-26 04:00:00,Gemini,ETH/USD,2478.33,2724.02,2356.27,2366.57,23554.129956,55742497.329970926
2022-01-25 04:00:00,Gemini,ETH/USD,2416.82,2507.5,2352.0,2478.33,22862.953309,56661943.07429397
2022-01-24 04:00:00,Gemini,ETH/USD,2462.01,2482.55,2152.9,2416.82,51998.057839,125669946.146452
2022-01-23 04:00:00,Gemini,ETH/USD,2417.89,2550.0,2370.67,2462.01,21745.573919,53537820.44431719
2022-01-22 04:00:00,Gemini,ETH/USD,2567.02,2576.92,2301.02,2417.89,30311.5588,73290014.906932
2022-01-21 04:00:00,Gemini,ETH/USD,2837.62,2899.56,2465.6,2567.02,42732.086924,109694121.7756465
2022-01-20 04:00:00,Gemini,ETH/USD,3127.32,3272.35,2809.73,2837.62,23506.834536,66703463.816044316
2022-01-19 04:00:00,Gemini,ETH/USD,3099.15,3158.28,3084.18,3127.32,4860.46013,15200214.173751602
2022-01-18 04:00:00,Gemini,ETH/USD,3183.74,3208.5,3084.43,3099.15,10952.18386,33942460.609719
2022-01-17 04:00:00,Gemini,ETH/USD,3258.93,3300.13,3143.36,3183.74,9619.139092,30624837.892764077
2022-01-16 04:00:00,Gemini,ETH/USD,3318.0,3394.38,3258.37,3258.93,11374.972916,37070240.48513988
2022-01-15 04:00:00,Gemini,ETH/USD,3310.39,3373.06,3265.02,3318.0,15073.893145,50015177.45511
2022-01-14 04:00:00,Gemini,ETH/USD,3270.05,3350.0,3189.99,3310.39,6524.496092,21598626.61799588
2022-01-13 04:00:00,Gemini,ETH/USD,3339.38,3418.67,3225.01,3270.05,10273.333845,33594315.33984225
2022-01-12 04:00:00,Gemini,ETH/USD,3236.75,3412.21,3236.75,3339.38,6918.746875,23104324.9394375
2022-01-11 04:00:00,Gemini,ETH/USD,3121.61,3266.7,3076.33,3236.75,15945.03471,51610091.0975925
2022-01-10 04:00:00,Gemini,ETH/USD,3156.85,3181.08,2928.15,3121.61,27474.455224,85764534.17179064
2022-01-09 04:00:00,Gemini,ETH/USD,3121.67,3211.99,3075.0,3156.85,9414.835438,29721223.2524503
2022-01-08 04:00:00,Gemini,ETH/USD,3204.4,3247.91,3000.0,3121.67,14224.653358,44404673.64806786
2022-01-07 04:00:00,Gemini,ETH/USD,3237.0,3285.53,3062.98,3204.4,23738.94741,76069083.080604
2022-01-06 04:00:00,Gemini,ETH/USD,3446.36,3479.53,3225.88,3237.0,19475.34952,63041706.396239996
2022-01-05 04:00:00,Gemini,ETH/USD,3809.6,3819.94,3410.01,3446.36,16632.281149,57320828.46066764
2022-01-04 04:00:00,Gemini,ETH/USD,3745.53,3893.4,3728.61,3809.6,12172.407486,46372003.558665596
2022-01-03 04:00:00,Gemini,ETH/USD,3786.35,3850.54,3682.2,3745.53,9628.060345,36062188.86400785
2022-01-02 04:00:00,Gemini,ETH/USD,3759.34,3857.0,3718.8,3786.35,4428.074679,16766240.560831651
2022-01-01 04:00:00,Gemini,ETH/USD,3722.62,3777.71,3675.0,3759.34,7091.010262,26657518.51834708
2021-12-31 04:00:00,Gemini,ETH/USD,3743.89,3813.86,3621.88,3722.62,15688.125205,58400928.6506371
2021-12-30 04:00:00,Gemini,ETH/USD,3651.67,3769.86,3648.91,3743.89,10444.803318,39104194.69422702
2021-12-29 04:00:00,Gemini,ETH/USD,3817.1,3825.17,3585.37,3651.67,13267.354429,48448000.14774644
2021-12-28 04:00:00,Gemini,ETH/USD,3961.27,3961.27,3760.02,3817.1,14041.565435,53598059.4219385
2021-12-27 04:00:00,Gemini,ETH/USD,4082.87,4127.75,3929.99,3961.27,7628.942969,30220302.914810628
2021-12-26 04:00:00,Gemini,ETH/USD,4016.54,4105.44,4007.48,4082.87,4721.745034,19278271.14696758
